,County,Estimate!!Total,Estimate!!Total!!Utility gas,"Estimate!!Total!!Bottled, tank, or LP gas",Estimate!!Total!!Electricity,"Estimate!!Total!!Fuel oil, kerosene, etc.",Estimate!!Total!!Coal or coke,Estimate!!Total!!Wood,Estimate!!Total!!Solar energy,Estimate!!Total!!Other fuel,Estimate!!Total!!No fuel used,State,County Number,Year,Census_Population,FIPS,County Seat(s),Population (2010),Land Area km2,Land Area mi2,Water Area km2,Water Area mi2,Total Area km2,Total Area mi2,Latitude,Longitude,tempmax,tempmin,temp,humidity,precipcover,cloudcover,solarradiation,solarenergy,uvindex
28,Baca,1728.0,1181.0,356.0,149.0,0.0,0.0,14.0,4.0,24.0,0.0,8.0,9.0,2020,3570.0,8009.0,Springfield,"3,788","6,617.33","2,554.97",6.142,2.372,"6,623.48","2,557.34",37.303144,-102.535457,70.8089743589744,40.6121794871795,55.1923076923077,50.4153846153846,2.96467948717949,18.8403846153846,295.008333333333,17.8121794871795,7.26282051282051
29,Baca,1757.5,1206.5,373.5,143.5,0.0,0.0,10.0,4.5,21.5,0.0,,,2021,,,,,,,,,,,,,,,,,,,,,
30,Chaffee,7900.0,3916.0,1700.0,1191.0,16.0,6.0,971.0,48.0,40.0,12.0,8.0,15.0,2017,18818.0,8015.0,Salida,"17,809","2,624.70","1,013.40",4.013,1.55,"2,628.72","1,014.95",38.738246,-106.316972,53.223717948718,33.8980769230769,43.3294871794872,43.6032051282051,6.7575641025641,33.3871794871795,247.026282051282,18.7461538461538,7.89102564102564
31,Chaffee,7958.0,3887.0,1796.0,1251.0,16.0,6.0,852.0,72.0,64.0,14.0,8.0,15.0,2018,19164.0,8015.0,Salida,"17,809","2,624.70","1,013.40",4.013,1.55,"2,628.72","1,014.95",38.738246,-106.316972,53.223717948718,33.8980769230769,43.3294871794872,43.6032051282051,6.7575641025641,33.3871794871795,247.026282051282,18.7461538461538,7.89102564102564
32,Chaffee,8231.0,3889.0,2025.0,1231.0,19.0,14.0,840.0,91.0,91.0,31.0,8.0,15.0,2019,19557.0,8015.0,Salida,"17,809","2,624.70","1,013.40",4.013,1.55,"2,628.72","1,014.95",38.738246,-106.316972,53.223717948718,33.8980769230769,43.3294871794872,43.6032051282051,6.7575641025641,33.3871794871795,247.026282051282,18.7461538461538,7.89102564102564
33,Chaffee,8650.0,3917.0,2220.0,1499.0,31.0,12.0,748.0,87.0,100.0,36.0,8.0,15.0,2020,19977.0,8015.0,Salida,"17,809","2,624.70","1,013.40",4.013,1.55,"2,628.72","1,014.95",38.738246,-106.316972,53.223717948718,33.8980769230769,43.3294871794872,43.6032051282051,6.7575641025641,33.3871794871795,247.026282051282,18.7461538461538,7.89102564102564
34,Chaffee,8815.5,3903.5,2382.5,1519.0,32.5,16.0,682.5,108.5,125.5,45.5,,,2021,,,,,,,,,,,,,,,,,,,,,
35,Gilpin,2603.0,1239.0,353.0,488.0,21.0,0.0,467.0,0.0,35.0,0.0,8.0,47.0,2017,5793.0,8047.0,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947,45.4198717948718,27.8044871794872,35.8038461538462,51.575,9.61570512820513,31.2865384615385,275.803846153846,23.8076923076923,7.0448717948718
36,Gilpin,2653.0,1261.0,378.0,545.0,27.0,0.0,390.0,0.0,52.0,0.0,8.0,47.0,2018,5924.0,8047.0,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947,45.4198717948718,27.8044871794872,35.8038461538462,51.575,9.61570512820513,31.2865384615385,275.803846153846,23.8076923076923,7.0448717948718
37,Gilpin,2802.0,1330.0,349.0,624.0,0.0,0.0,363.0,15.0,121.0,0.0,8.0,47.0,2019,6018.0,8047.0,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947,45.4198717948718,27.8044871794872,35.8038461538462,51.575,9.61570512820513,31.2865384615385,275.803846153846,23.8076923076923,7.0448717948718
38,Gilpin,2860.0,1397.0,445.0,590.0,97.0,0.0,219.0,19.0,93.0,0.0,8.0,47.0,2020,6108.0,8047.0,Central City,"5,441",388.229,149.896,0.942,0.364,389.171,150.26,39.861082,-105.528947,45.4198717948718,27.8044871794872,35.8038461538462,51.575,9.61570512820513,31.2865384615385,275.803846153846,23.8076923076923,7.0448717948718
39,Gilpin,2959.5,1442.5,443.0,658.0,86.5,0.0,167.0,26.5,136.0,0.0,,,2021,,,,,,,,,,,,,,,,,,,,,
40,Kit Carson,2995.0,1941.0,527.0,439.0,0.0,0.0,22.0,0.0,52.0,14.0,8.0,63.0,2017,7846.0,8063.0,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023,67.7596153846154,39.1032051282051,52.7333333333333,52.843589743589696,4.67403846153846,21.5173076923077,234.559615384615,16.6019230769231,6.68589743589744
41,Kit Carson,2977.0,2035.0,486.0,374.0,0.0,0.0,22.0,0.0,46.0,14.0,8.0,63.0,2018,7635.0,8063.0,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023,67.7596153846154,39.1032051282051,52.7333333333333,52.843589743589696,4.67403846153846,21.5173076923077,234.559615384615,16.6019230769231,6.68589743589744
42,Kit Carson,3004.0,2219.0,441.0,264.0,0.0,0.0,30.0,0.0,37.0,13.0,8.0,63.0,2019,7447.0,8063.0,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023,67.7596153846154,39.1032051282051,52.7333333333333,52.843589743589696,4.67403846153846,21.5173076923077,234.559615384615,16.6019230769231,6.68589743589744
43,Kit Carson,3020.0,2198.0,334.0,382.0,0.0,0.0,54.0,0.0,37.0,15.0,8.0,63.0,2020,7246.0,8063.0,Burlington,"8,270","5,596.50","2,160.82",2.252,0.869,"5,598.75","2,161.69",39.30534,-102.603023,67.7596153846154,39.1032051282051,52.7333333333333,52.843589743589696,4.67403846153846,21.5173076923077,234.559615384615,16.6019230769231,6.68589743589744
44,Kit Carson,3024.5,2337.0,291.0,294.5,0.0,0.0,58.0,0.0,29.5,14.5,,,2021,,,,,,,,,,,,,,,,,,,,,
45,Garfield,21055.0,14414.0,1384.0,3994.0,34.0,84.0,819.0,54.0,225.0,47.0,8.0,45.0,2017,57945.0,8045.0,Glenwood Springs,"56,389","7,634.15","2,947.56",21.431,8.274,"7,655.58","2,955.84",39.599352,-107.90978,64.3121794871795,35.7179487179487,49.457692307692305,48.7211538461539,4.19365384615385,23.6544871794872,243.291666666667,17.2615384615385,7.48717948717949
46,Garfield,21138.0,14095.0,1531.0,4282.0,10.0,79.0,783.0,78.0,216.0,64.0,8.0,45.0,2018,58538.0,8045.0,Glenwood Springs,"56,389","7,634.15","2,947.56",21.431,8.274,"7,655.58","2,955.84",39.599352,-107.90978,64.3121794871795,35.7179487179487,49.457692307692305,48.7211538461539,4.19365384615385,23.6544871794872,243.291666666667,17.2615384615385,7.48717948717949
47,Garfield,21498.0,13979.0,1437.0,4777.0,10.0,33.0,943.0,85.0,180.0,54.0,8.0,45.0,2019,59055.0,8045.0,Glenwood Springs,"56,389","7,634.15","2,947.56",21.431,8.274,"7,655.58","2,955.84",39.599352,-107.90978,64.3121794871795,35.7179487179487,49.457692307692305,48.7211538461539,4.19365384615385,23.6544871794872,243.291666666667,17.2615384615385,7.48717948717949
