period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,generation,generation-units,,,
2021,60283,SR Mavericks,SUN,Solar,CO,Colorado,PV,14943,megawatthours,,SR Mavericks,Weld
2021,61462,SR Platte Solar Farm,SUN,Solar,CO,Colorado,ALL,36700,megawatthours,,SR Platte Solar Farm,Weld
2021,64152,SR Rattlesnake,SUN,Solar,CO,Colorado,PV,16031,megawatthours,,SR Rattlesnake,Weld
2021,60497,SR Skylark B,SUN,Solar,CO,Colorado,PV,4396,megawatthours,,SR Skylark B,Weld
2021,63587,SR Skylark C,SUN,Solar,CO,Colorado,PV,2306,megawatthours,,SR Skylark C,Weld
2021,59198,Sterling PV 3,SUN,Solar,CO,Colorado,PV,3657,megawatthours,,Sterling PV 3,Logan
2022,65032,Sun Mountain Solar 1,SUN,Solar,CO,Colorado,PV,22748,megawatthours,,Sun Mountain Solar 1,Pueblo
2021,56481,SunE Alamosa,SUN,Solar,CO,Colorado,PV,12321,megawatthours,,SunE Alamosa,Alamosa
2021,59742,Sunnyside Ranch Community Solar Array,SUN,Solar,CO,Colorado,PV,2926,megawatthours,,Sunnyside Ranch Community Solar Array,Garfield
2022,61811,Titan Solar,SUN,Solar,CO,Colorado,PV,109929,megawatthours,,Titan Solar,Arapahoe
2021,63163,Tom Sifers Solar,SUN,Solar,CO,Colorado,PV,2237,megawatthours,,Tom Sifers Solar,Grand
2021,62260,Trout Creek Solar,SUN,Solar,CO,Colorado,PV,3876,megawatthours,,Trout Creek Solar,Chaffee
2021,64388,TruStile Doors - Denver,SUN,Solar,CO,Colorado,PV,599,megawatthours,,TruStile Doors - Denver,
2021,60247,Valley View Solar,SUN,Solar,CO,Colorado,PV,9775,megawatthours,,Valley View Solar,Weld
2021,65520,Vasquez V CSG,SUN,Solar,CO,Colorado,PV,428,megawatthours,,Vasquez V CSG,Weld
2021,64880,Venture 1 - 1A CSG,SUN,Solar,CO,Colorado,PV,2171,megawatthours,,Venture 1 - 1A CSG,
2021,65235,Venture 2 - 1B,SUN,Solar,CO,Colorado,PV,712,megawatthours,,Venture 2 - 1B,Adams
2021,65236,Venture 3 - 1C,SUN,Solar,CO,Colorado,PV,459,megawatthours,,Venture 3 - 1C,Adams
2021,65237,Venture 4 - 1D,SUN,Solar,CO,Colorado,PV,685,megawatthours,,Venture 4 - 1D,Adams
2021,60764,Victory Solar LLC,SUN,Solar,CO,Colorado,PV,29027,megawatthours,,Victory Solar LLC,Adams
2021,61606,Vilas Solar Array,SUN,Solar,CO,Colorado,PV,9997,megawatthours,,Vilas Solar Array,Baca
2021,60720,Weld 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,3386,megawatthours,,Weld 1 Community Solar Array,Weld
2021,63164,Whiskey Hill Solar,SUN,Solar,CO,Colorado,PV,2242,megawatthours,,Whiskey Hill Solar,Jackson
2021,56922,WWRF Solar Plant,SUN,Solar,CO,Colorado,PV,1991,megawatthours,,WWRF Solar Plant,Garfield
2021,60726,Xcel Adams 1 Community Solar Array,SUN,Solar,CO,Colorado,PV,3608,megawatthours,,Xcel Adams 1 Community Solar Array,Adams
2021,60725,Xcel Adams 2 Community Solar Array,SUN,Solar,CO,Colorado,PV,3689,megawatthours,,Xcel Adams 2 Community Solar Array,Adams
